"","commarea","geoid10","community"
"452","38","17031381800","GRAND BOULEVARD"
"453","17","17031170500","DUNNING"
"454","35","17031351400","DOUGLAS"
"455","38","17031381200","GRAND BOULEVARD"
"456","38","17031381400","GRAND BOULEVARD"
"457","39","17031390100","KENWOOD"
"458","43","17031430400","SOUTH SHORE"
"459","43","17031430500","SOUTH SHORE"
"460","43","17031430600","SOUTH SHORE"
"461","23","17031230700","HUMBOLDT PARK"
"462","23","17031230900","HUMBOLDT PARK"
"463","23","17031231200","HUMBOLDT PARK"
"464","17","17031170700","DUNNING"
"465","17","17031170800","DUNNING"
"466","17","17031171100","DUNNING"
"467","19","17031190100","BELMONT CRAGIN"
"468","24","17031242200","WEST TOWN"
"469","20","17031200300","HERMOSA"
"470","21","17031210400","AVONDALE"
"471","22","17031220300","LOGAN SQUARE"
"472","21","17031210700","AVONDALE"
"473","21","17031210800","AVONDALE"
"474","21","17031210900","AVONDALE"
"475","42","17031420100","WOODLAWN"
"476","42","17031420400","WOODLAWN"
"477","42","17031420500","WOODLAWN"
"478","69","17031691300","GREATER GRAND CROSSING"
"479","3","17031031700","UPTOWN"
"480","47","17031470100","BURNSIDE"
"481","48","17031480100","CALUMET HEIGHTS"
"482","69","17031691000","GREATER GRAND CROSSING"
"483","24","17031242300","WEST TOWN"
"484","41","17031411100","HYDE PARK"
"485","46","17031460400","SOUTH CHICAGO"
"486","68","17031681200","ENGLEWOOD"
"487","69","17031690500","GREATER GRAND CROSSING"
"488","24","17031241400","WEST TOWN"
"489","24","17031241500","WEST TOWN"
"490","24","17031241600","WEST TOWN"
"491","24","17031242000","WEST TOWN"
"492","24","17031243300","WEST TOWN"
"493","49","17031491200","ROSELAND"
"494","48","17031480300","CALUMET HEIGHTS"
"495","71","17031710800","AUBURN GRESHAM"
"496","71","17031711300","AUBURN GRESHAM"
"497","1","17031010202","ROGERS PARK"
"498","48","17031480200","CALUMET HEIGHTS"
"499","48","17031480400","CALUMET HEIGHTS"
"500","48","17031480500","CALUMET HEIGHTS"
"501","24","17031241200","WEST TOWN"
"502","69","17031691100","GREATER GRAND CROSSING"
"503","69","17031691200","GREATER GRAND CROSSING"
"504","69","17031691400","GREATER GRAND CROSSING"
"505","5","17031051200","NORTH CENTER"
"506","69","17031691500","GREATER GRAND CROSSING"
"507","70","17031700100","ASHBURN"
"508","41","17031410700","HYDE PARK"
"509","41","17031410800","HYDE PARK"
"510","41","17031410900","HYDE PARK"
"511","41","17031411000","HYDE PARK"
"512","41","17031411200","HYDE PARK"
"513","53","17031530600","WEST PULLMAN"
"514","46","17031460100","SOUTH CHICAGO"
"515","46","17031460200","SOUTH CHICAGO"
"516","46","17031460500","SOUTH CHICAGO"
"517","46","17031460600","SOUTH CHICAGO"
"518","46","17031460700","SOUTH CHICAGO"
"519","24","17031241300","WEST TOWN"
"520","46","17031461000","SOUTH CHICAGO"
"521","68","17031681300","ENGLEWOOD"
"522","68","17031681400","ENGLEWOOD"
"523","6","17031060100","LAKE VIEW"
"524","69","17031690300","GREATER GRAND CROSSING"
"525","69","17031690400","GREATER GRAND CROSSING"
"526","69","17031690900","GREATER GRAND CROSSING"
"527","6","17031060200","LAKE VIEW"
"528","24","17031242100","WEST TOWN"
"529","24","17031243100","WEST TOWN"
"530","24","17031243200","WEST TOWN"
"531","61","17031611600","NEW CITY"
"532","24","17031243400","WEST TOWN"
"533","24","17031243500","WEST TOWN"
"534","71","17031711100","AUBURN GRESHAM"
"535","25","17031250200","AUSTIN"
"536","49","17031491000","ROSELAND"
"537","49","17031491100","ROSELAND"
"538","71","17031710100","AUBURN GRESHAM"
"539","51","17031510100","SOUTH DEERING"
"540","51","17031510200","SOUTH DEERING"
"541","71","17031710300","AUBURN GRESHAM"
"542","52","17031520200","EAST SIDE"
"543","71","17031710900","AUBURN GRESHAM"
"544","71","17031711000","AUBURN GRESHAM"
"545","71","17031711200","AUBURN GRESHAM"
"546","71","17031711400","AUBURN GRESHAM"
"547","8","17031081402","NEAR NORTH SIDE"
"548","71","17031710600","AUBURN GRESHAM"
"549","6","17031061902","LAKE VIEW"
"550","77","17031030200","EDGEWATER"
"551","77","17031030300","EDGEWATER"
"552","77","17031030400","EDGEWATER"
"553","77","17031030500","EDGEWATER"
"554","77","17031030800","EDGEWATER"
"555","24","17031242400","WEST TOWN"
"556","24","17031242500","WEST TOWN"
"557","24","17031242600","WEST TOWN"
"558","24","17031242700","WEST TOWN"
"559","24","17031242800","WEST TOWN"
"560","24","17031242900","WEST TOWN"
"561","24","17031243000","WEST TOWN"
"562","22","17031220400","LOGAN SQUARE"
"563","22","17031220500","LOGAN SQUARE"
"564","3","17031031800","UPTOWN"
"565","22","17031221000","LOGAN SQUARE"
"566","10","17031810400","NORWOOD PARK"
"567","3","17031031900","UPTOWN"
"568","52","17031520500","EAST SIDE"
"569","72","17031720500","BEVERLY"
"570","49","17031490300","ROSELAND"
"571","49","17031490400","ROSELAND"
"572","35","17031350100","DOUGLAS"
"573","35","17031351100","DOUGLAS"
"574","25","17031251200","AUSTIN"
"575","57","17031570100","ARCHER HEIGHTS"
"576","77","17031030900","EDGEWATER"
"577","25","17031250600","AUSTIN"
"578","56","17031560100","GARFIELD RIDGE"
"579","3","17031032100","UPTOWN"
"580","49","17031490500","ROSELAND"
"581","49","17031490600","ROSELAND"
"582","49","17031490700","ROSELAND"
"583","49","17031490800","ROSELAND"
"584","70","17031700200","ASHBURN"
"585","71","17031710200","AUBURN GRESHAM"
"586","71","17031710400","AUBURN GRESHAM"
"587","71","17031710500","AUBURN GRESHAM"
"588","71","17031710700","AUBURN GRESHAM"
"589","25","17031251000","AUSTIN"
"590","28","17031280400","NEAR WEST SIDE"
"591","32","17031320100","LOOP"
"592","58","17031580800","BRIGHTON PARK"
"593","35","17031351000","DOUGLAS"
"594","36","17031360200","OAKLAND"
"595","38","17031380100","GRAND BOULEVARD"
"596","23","17031231500","HUMBOLDT PARK"
"597","25","17031251100","AUSTIN"
"598","55","17031550200","HEGEWISCH"
"599","56","17031560800","GARFIELD RIDGE"
"600","56","17031560900","GARFIELD RIDGE"
"601","50","17031500300","PULLMAN"
"602","56","17031561000","GARFIELD RIDGE"
"603","56","17031561100","GARFIELD RIDGE"
"604","57","17031570200","ARCHER HEIGHTS"
"605","73","17031730400","WASHINGTON HEIGHTS"
"606","73","17031730500","WASHINGTON HEIGHTS"
"607","73","17031730600","WASHINGTON HEIGHTS"
"608","73","17031730700","WASHINGTON HEIGHTS"
"609","25","17031250300","AUSTIN"
"610","25","17031250400","AUSTIN"
"611","25","17031250500","AUSTIN"
"612","25","17031250700","AUSTIN"
"613","25","17031250800","AUSTIN"
"614","52","17031520300","EAST SIDE"
"615","52","17031520600","EAST SIDE"
"616","56","17031560200","GARFIELD RIDGE"
"617","56","17031560300","GARFIELD RIDGE"
"618","56","17031560700","GARFIELD RIDGE"
"619","71","17031711500","AUBURN GRESHAM"
"620","72","17031720600","BEVERLY"
"621","3","17031031000","UPTOWN"
"622","58","17031580300","BRIGHTON PARK"
"623","5","17031050500","NORTH CENTER"
"624","5","17031050800","NORTH CENTER"
"625","5","17031051000","NORTH CENTER"
"626","5","17031051400","NORTH CENTER"
"627","8","17031081900","NEAR NORTH SIDE"
"628","25","17031252000","AUSTIN"
"629","26","17031260300","WEST GARFIELD PARK"
"630","4","17031040300","LINCOLN SQUARE"
"631","4","17031040800","LINCOLN SQUARE"
"632","5","17031050100","NORTH CENTER"
"633","5","17031050200","NORTH CENTER"
"634","5","17031050300","NORTH CENTER"
"635","38","17031380200","GRAND BOULEVARD"
"636","60","17031600400","BRIDGEPORT"
"637","8","17031081500","NEAR NORTH SIDE"
"638","72","17031720100","BEVERLY"
"639","72","17031720200","BEVERLY"
"640","72","17031720300","BEVERLY"
"641","72","17031720700","BEVERLY"
"642","73","17031730100","WASHINGTON HEIGHTS"
"643","73","17031730300","WASHINGTON HEIGHTS"
"644","3","17031031100","UPTOWN"
"645","3","17031031200","UPTOWN"
"646","3","17031031300","UPTOWN"
"647","3","17031031400","UPTOWN"
"648","57","17031570500","ARCHER HEIGHTS"
"649","58","17031580100","BRIGHTON PARK"
"650","58","17031580200","BRIGHTON PARK"
"651","6","17031060300","LAKE VIEW"
"652","58","17031580400","BRIGHTON PARK"
"653","58","17031580600","BRIGHTON PARK"
"654","53","17031530300","WEST PULLMAN"
"655","5","17031051300","NORTH CENTER"
"656","50","17031500100","PULLMAN"
"657","5","17031050600","NORTH CENTER"
"658","5","17031050700","NORTH CENTER"
"659","5","17031050900","NORTH CENTER"
"660","5","17031051100","NORTH CENTER"
"661","8","17031081800","NEAR NORTH SIDE"
"662","9","17031090100","EDISON PARK"
"663","9","17031090200","EDISON PARK"
"664","9","17031090300","EDISON PARK"
"665","10","17031100100","NORWOOD PARK"
"666","26","17031260200","WEST GARFIELD PARK"
"667","10","17031100200","NORWOOD PARK"
"668","26","17031260100","WEST GARFIELD PARK"
"669","6","17031062400","LAKE VIEW"
"670","49","17031491300","ROSELAND"
